1001,2020-08-12,715.52,3,891-60-9531,542
1002,2020-12-17,154.27,18,895-33-6350,698
1003,2020-11-03,534.04,44,308-45-9846,438
1004,2020-03-24,330.93,27,700-33-5604,682
1005,2020-11-24,202.91,13,420-30-9321,680
1006,2021-02-12,194.80,37,106-87-8320,607
1007,2020-11-16,657.71,15,821-63-1866,759
1008,2020-12-04,362.79,30,130-04-2954,756
1009,2020-05-12,109.47,48,859-70-2679,463
1010,2020-11-05,887.79,48,617-60-3835,605
1011,2020-06-17,958.01,41,894-22-1683,551
1012,2020-10-22,779.21,18,373-06-5551,710
1013,2020-05-29,517.00,20,311-97-8133,736
1014,2021-02-08,844.25,38,324-95-9280,784
1015,2020-07-03,416.33,31,261-64-7553,722
1016,2021-02-10,116.81,7,423-41-8286,766
1017,2020-04-06,387.22,15,524-98-3141,721
1018,2020-06-12,654.78,37,827-11-8484,694
1019,2021-02-19,271.27,40,769-09-1796,450
1020,2021-02-20,998.39,9,406-21-7190,658
1021,2020-12-12,407.13,25,387-15-1222,435
1022,2020-12-27,36.67,8,197-04-8723,403
1023,2020-09-09,55.11,46,135-96-9835,660
1024,2021-01-05,155.32,2,331-21-5399,619
1025,2020-08-26,990.55,31,111-14-7325,670
1026,2020-06-03,181.38,39,855-06-7121,652
1027,2020-05-09,37.08,10,306-92-1963,465
1028,2020-06-14,889.20,4,279-12-9632,599
1029,2020-04-03,254.65,44,627-48-3358,514
1030,2020-04-16,642.59,23,674-97-2426,495
1031,2021-02-02,792.33,16,537-31-8239,592
1032,2021-01-31,73.81,17,528-95-2018,578
1033,2020-05-06,964.39,37,341-69-3046,727
1034,2020-07-25,678.56,8,253-07-6690,625
1035,2020-04-29,832.31,42,339-70-7797,750
1036,2020-07-29,749.40,34,438-48-3707,779
1037,2020-11-28,402.47,25,746-28-4579,475
1038,2020-07-13,461.53,8,804-18-7034,691
1039,2021-02-04,169.36,17,313-67-5744,587
1040,2020-06-15,783.24,44,741-64-9442,561
1041,2020-05-15,405.34,14,855-06-7121,452
1042,2021-02-10,907.35,13,802-24-3883,421
1043,2020-12-17,82.73,28,634-13-9626,427
1044,2020-09-14,73.79,5,483-89-9065,688
1045,2020-04-05,908.11,39,305-23-7157,726
1046,2021-01-29,137.24,11,638-35-7002,540
1047,2020-09-19,920.70,26,718-37-1802,624
1048,2020-12-19,394.51,9,297-02-3365,648
1049,2021-02-12,91.88,28,581-24-5493,519
1050,2020-09-15,982.79,10,361-06-7035,583
1051,2021-01-02,209.30,48,285-70-8122,493
1052,2021-01-27,326.01,20,591-24-3906,683
1053,2020-03-22,807.47,38,194-42-6806,517
1054,2020-06-19,818.44,41,524-98-3141,521
1055,2020-08-21,31.55,47,781-79-6386,570
1056,2021-02-24,348.27,25,737-50-7454,692
1057,2020-03-27,267.18,1,114-68-9844,617
1058,2020-10-29,880.94,45,865-52-4622,767
1059,2020-09-06,452.45,16,317-07-7984,533
1060,2020-04-18,584.15,15,406-21-7190,458
1061,2021-02-02,597.48,2,691-47-3831,701
1062,2020-12-21,826.35,45,741-64-9442,761
1063,2020-10-29,343.36,4,893-57-6313,406
1064,2021-02-03,959.45,47,830-07-9619,598
1065,2020-07-20,556.43,16,607-26-8450,657
1066,2020-11-10,193.87,36,693-28-5127,555
1067,2021-01-17,531.72,16,582-86-4934,588
1068,2020-12-24,482.60,13,197-04-8723,603
1069,2020-10-13,144.54,11,167-57-3236,777
1070,2020-03-29,691.29,25,638-35-7002,740
1071,2020-10-18,280.01,49,160-64-9216,538
1072,2020-03-25,740.30,21,711-84-1767,466
1073,2020-04-14,197.66,16,525-84-3768,518
1074,2020-10-27,852.14,46,831-82-4898,499
1075,2020-11-11,61.24,5,777-92-6773,539
1076,2020-12-18,860.55,39,122-51-3962,502
1077,2021-01-26,812.20,28,831-82-4898,699
1078,2020-06-21,616.19,17,135-96-9835,460
1079,2020-07-08,41.96,25,423-41-8286,566
1080,2020-03-16,492.21,20,489-97-8536,728
1081,2020-07-14,551.20,18,106-87-8320,407
1082,2020-07-19,48.95,26,171-82-5490,412
1083,2020-12-22,534.05,12,431-49-6049,753
1084,2020-05-29,531.13,6,146-10-1440,651
1085,2020-07-01,328.02,16,330-29-1479,418
1086,2020-07-26,96.24,35,535-64-4181,668
1087,2020-07-20,21.79,47,315-97-9802,611
1088,2020-11-27,142.64,33,278-10-6456,453
1089,2020-11-26,28.58,35,828-18-9959,640
1090,2020-07-23,818.33,4,335-66-4286,709
1091,2020-09-22,636.10,34,792-63-5889,800
1092,2020-03-20,676.14,10,796-32-1291,780
1093,2020-10-11,246.52,12,342-97-1760,757
1094,2020-09-06,757.85,17,279-12-9632,799
1095,2021-03-11,422.93,14,416-10-1678,597
1096,2020-08-12,137.54,21,422-77-1425,416
1097,2020-04-18,194.34,35,442-19-9751,456
1098,2020-12-10,261.67,28,417-89-3625,769
1099,2020-12-01,119.54,25,171-68-9165,420
1100,2020-04-03,25.86,39,891-60-9531,742
1101,2020-04-08,488.01,27,171-82-5490,612
1102,2020-04-09,504.51,12,718-37-1802,424
1103,2020-07-23,10.11,45,282-29-0172,541
1104,2020-11-18,402.46,3,167-57-3236,577
1105,2020-04-29,820.58,33,502-46-8681,484
1106,2020-11-08,472.34,31,269-80-6183,433
1107,2020-08-13,951.47,3,284-76-6973,455
